Altium Designer Pick and Place Locations
F:\0.CAC_MACH_THIET_KE_VNET\Project 2021\04. AC02(HUB)\Design\Ver1.3B.240322\Circuit\prj\Project Outputs for HUB V1.3B.240322_TG\Pick Place for HUB V1.3B.240322_TG.csv

========================================================================================================================
File Design Information:

Date:       03/04/24
Time:       13:31
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","MPN","MPN2","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Layer"
"D10","LED 3mm Blue","xx","","LED-3mm_BLUE","53.0000","37.5000","53.0000","37.5000","53.0000","38.7700","270","BottomLayer"
"D9","LED 3mm Blue","xx","","LED-3mm_BLUE","39.0000","37.5000","39.0000","37.5000","39.0000","38.7700","270","BottomLayer"
"D8","LED 3mm RED","xx","","LED-3mm_RED","47.0000","37.5000","47.0000","37.5000","47.0000","38.7700","270","BottomLayer"
"D7","LED 3mm RED","xx","","LED-3mm_RED","33.0000","37.5000","33.0000","37.5000","33.0000","38.7700","270","BottomLayer"
"D6","LED 3mm Green","xx","","LED-3mm_GREEN","24.0000","37.5000","24.0000","37.5000","24.0000","38.7700","270","BottomLayer"
"C21","100nF","CL10C104JB8NNNC","","0603_-_C","62.6400","24.3900","62.6400","24.3900","63.3400","24.3900","180","TopLayer"
"R39","1K","RC0603FR-071KL","","0603_-_R","32.6300","45.4300","32.6300","45.4300","32.6300","44.7300","90","TopLayer"
"R38","1K","RC0603FR-071KL","","0603_-_R","23.5100","45.0200","23.5100","45.0200","23.5100","45.7200","270","TopLayer"
"R37","10K","RC0603FR-0710KL","","0603_-_R","24.9100","45.0200","24.9100","45.0200","24.9100","44.3200","90","TopLayer"
"R36","10K","RC0603FR-0710KL","","0603_-_R","29.9700","41.7500","29.9700","41.7500","29.9700","42.4500","270","TopLayer"
"R35","1K","RC0603FR-071KL","","0603_-_R","24.2100","41.0100","24.2100","41.0100","24.9100","41.0100","180","TopLayer"
