Altium Designer Pick and Place Locations,,,,,,,
F:\0.CAC_MACH_THIET_KE_VNET\Project 2024\6. RFID\RFID\prj\Project Outputs for RFID_240713 V3.01\Pick Place for RFID_240713 V3.01.csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       13/08/24,,,,,,,
Time:       10:20,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    No variations,,,,,,,
Units used: mil,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
J1,Jumper 4,TopLayer,JP4,-395.669,1545.669,0,"Jumper 4, 2.54mmx4"
TXD1,Test Point,TopLayer,TP1,-235.433,2852.559,90,1mm - 1 layer
RXD1,Test Point,TopLayer,TP1,-531.496,2852.559,90,1mm - 1 layer
GND,Test Point,TopLayer,TP1,-383.464,2852.559,90,1mm - 1 layer
U1,AMS1117_3.3V,TopLayer,SOT223,922.253,1216.807,180,1A LOW DROPOUT VOLTAGE REGULATOR
L1,2.2uH,TopLayer,1210_-_L,1029.199,1648.14,270,FIXED IND 2.2UH 1.6A 76 MOHM SMD
H1,MX3.0 RA 2*2P S,TopLayer,43045-M3045-2x2-B,82.677,2817.126,180,"Micro-Fit 3.0™ Straight Header, 3.00mm Pitch, Dual Row, 4 Circuits"
F1,Fuse 30V,TopLayer,1206_-_Fuse,1030.835,1952.944,270,PTC RESET FUSE 30V 0.125A 1206
D1,1N4148,TopLayer,SOD-123,966.473,2088.48,270,DIODE GEN PURP 100V 300MA SOD123
D2,SMAJ12A,TopLayer,Diode_-_SMA,950.787,1792.913,180,TVS DIODE 12VWM 19.9VC SMA
C4,10uF,TopLayer,0603_-_C,725.569,1177.197,90,CAP CER 10UF 16V X5R 0603
C1,10uF/16V,TopLayer,3216_-_TANTALUM,975.402,1486.217,180,CAP TANT 10UF 16V 10% 1206
C5,100nF,TopLayer,0603_-_C,655.48,1180.587,90,CAP CER 100nF 50V C0G/NP0 0603
C6,33pF,TopLayer,0603_-_C,682.677,1293.307,180,CAP CER 33PF 50V C0G 0603
C7,10pF,TopLayer,0603_-_C,682.262,1344.843,180,CAP CER 10PF 50V C0G/NP0 0603
C8,100nF,TopLayer,0603_-_C,1002.224,1396.126,0,CAP CER 100nF 50V C0G/NP0 0603
R26,0R_NM,TopLayer,0603_-_R,162.205,1481.102,90,RES SMD 0 OHM JUMPER 1/10W 0603
R24,1K,TopLayer,0603_-_R,905.512,2771.654,0,RES SMD 1K OHM 1% 1/10W 0603
U3,CR95HF,TopLayer,32-VFQFN,47.186,1258.66,90,IC RFID RDR/TRN 13.56MZ 32VFQFPN
R25,3.3K,TopLayer,0603_-_R,267.717,1182.284,0,RES SMD 3.3K OHM 1% 1/10W 0603
R21,330R,TopLayer,0603_-_R,-140.158,2267.085,90,RES SMD 330OHM 1% 1/10W 0603
C24,100nF,TopLayer,0603_-_C,475.916,1659.561,180,CAP CER 100nF 50V C0G/NP0 0603
R2,0R_NM,TopLayer,0603_-_R,412.424,1394.975,180,RES SMD 0 OHM JUMPER 1/10W 0603
C30,100nF,TopLayer,0603_-_C,801.742,1986.904,180,CAP CER 100nF 50V C0G/NP0 0603
R22,330R,TopLayer,0603_-_R,250.787,2267.085,90,RES SMD 330OHM 1% 1/10W 0603
C19,150pF,TopLayer,0603_-_C,-58.28,939.723,270,CAP CER 150PF 50V C0G/NP0 0603
R12,330R,TopLayer,0603_-_R,79.134,939.764,270,RES SMD 330OHM 1% 1/10W 0603
R15,330R,TopLayer,0603_-_R,24.803,939.764,270,RES SMD 330OHM 1% 1/10W 0603
